time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.1025,2.502734805,-0.067157657,2.448801426,0.020648547,30.00895748,42.05481153
0.103,2.502899236,-0.065842208,2.448472564,0.009631664,30.1836113,41.99251252
0.1035,2.502734805,-0.068801968,2.44781484,-0.000398632,29.87291761,42.10405742
0.104,2.502734805,-0.066499932,2.448801426,0.021141841,30.12123494,41.95335314
0.1045,2.502405943,-0.071268434,2.448308133,0.005520887,30.00955154,41.80027555
0.105,2.502734805,-0.068637536,2.448965857,0.024430462,30.05113579,42.14440345
0.1055,2.502570374,-0.065513346,2.448472564,0.012426993,30.02321494,42.0589648
0.106,2.502077081,-0.071104003,2.447979271,0.002067834,30.03034367,41.9302135
0.1065,2.502405943,-0.07209059,2.448965857,0.01949753,30.14024487,42.07261125
0.107,2.502241512,-0.077352385,2.448308133,0.008316216,30.15390827,42.15270999
0.1075,2.502405943,-0.073734901,2.448965857,0.027883515,30.22935396,42.14915004
0.108,2.502241512,-0.070939572,2.448801426,0.016702201,29.65846173,42.14262348
0.1085,2.502405943,-0.072748314,2.448308133,0.008809509,30.00895748,41.93496009
0.109,2.502734805,-0.063869035,2.449130288,0.026896929,29.97271979,42.02395869
0.1095,2.502734805,-0.06617107,2.448636995,0.015551184,29.99113567,42.0910043
0.11,2.502899236,-0.063869035,2.44945915,0.035940638,29.97984851,42.15211666
0.1105,2.503228098,-0.06025155,2.449130288,0.023608307,30.01252185,42.17703627
0.111,2.502570374,-0.06321131,2.448636995,0.014071304,30.02737336,42.30341428
0.1115,2.503228098,-0.058607239,2.449130288,0.032158723,30.00301688,42.19661596
0.112,2.503228098,-0.06173143,2.448965857,0.021963996,29.92994742,42.16813641
0.1125,2.503063667,-0.058936102,2.449623581,0.041202433,29.95727421,42.20314253
0.113,2.502734805,-0.054825324,2.449294719,0.028047946,29.7826204,42.28976782
0.1135,2.503228098,-0.057620653,2.448965857,0.019661961,29.97509603,42.19898926
0.114,2.503392529,-0.052358858,2.449623581,0.037420518,30.07133385,42.26366157
0.1145,2.50355696,-0.056962928,2.449294719,0.024594893,30.06004669,42.38173304
0.115,2.503392529,-0.05268772,2.449623581,0.044819917,30.04103676,42.41139924
0.1155,2.503721391,-0.04972796,2.449294719,0.030021119,30.05054173,42.5911764
0.116,2.503721391,-0.053345444,2.448801426,0.017853219,29.83252149,42.27730802
0.1165,2.50355696,-0.050221254,2.44945915,0.036598363,29.93826427,42.69500809
0.117,2.50355696,-0.056798497,2.448965857,0.025088187,30.04519518,42.37105321
0.1175,2.503228098,-0.054989755,2.449788012,0.043833331,29.79153131,42.31468743
0.118,2.503392529,-0.055318618,2.449130288,0.026732498,30.17232415,42.5021778
0.1185,2.50355696,-0.060744844,2.448636995,0.018182081,29.71964998,42.71933437
0.119,2.503228098,-0.058113946,2.449623581,0.032652017,30.04460112,42.79883979
0.1195,2.502899236,-0.063540172,2.448965857,0.01801765,29.964997,42.33960704
0.12,2.503063667,-0.06321131,2.44945915,0.03774938,29.78618476,42.70331463
0.1205,2.503228098,-0.062060293,2.449130288,0.024923756,29.63172901,42.75315384
0.121,2.502899236,-0.066993225,2.448472564,0.01505789,29.82420464,42.69856804
0.1215,2.502734805,-0.064033466,2.449130288,0.029856688,30.73905795,42.70687457
0.122,2.502734805,-0.068473105,2.448636995,0.015880046,29.56638234,42.31350078
0.1225,2.502899236,-0.065677777,2.449294719,0.03314531,29.79331349,42.52057085
0.123,2.502899236,-0.064197897,2.448801426,0.018675374,30.18242318,42.74188069
0.1235,2.502899236,-0.067979812,2.448308133,0.00749406,29.95133361,42.48556473
0.124,2.502734805,-0.06321131,2.448965857,0.0241016,29.91866027,42.49387127
0.1245,2.502899236,-0.067157657,2.448308133,0.012591424,30.04994766,42.51285763
0.125,2.502734805,-0.063704604,2.448965857,0.029692257,30.0463833,42.65881533
0.1255,2.502241512,-0.061566999,2.448801426,0.019661961,29.92044246,42.47844484
0.126,2.502899236,-0.067979812,2.448308133,0.009467233,30.01549215,42.62024927
0.1265,2.502734805,-0.064033466,2.449130288,0.026074773,30.14499736,42.6309291
0.127,2.502734805,-0.068144243,2.448636995,0.014071304,29.97034355,42.75790043
0.1275,2.502899236,-0.063704604,2.449294719,0.034296328,30.17351227,42.62499586
0.128,2.503228098,-0.06025155,2.448965857,0.023772738,29.94717518,42.45233859
0.1285,2.503063667,-0.06469119,2.448472564,0.014564597,29.90796718,42.58761645
0.129,2.503228098,-0.061073706,2.449294719,0.032487586,29.9091553,42.68373494
0.1295,2.503063667,-0.064526759,2.448965857,0.022457289,29.89905627,42.75018722
0.13,2.502899236,-0.059922688,2.449623581,0.04531321,30.09153191,42.85639221
0.1305,2.50355696,-0.055976342,2.44945915,0.030021119,29.93172961,42.88131182
0.131,2.503228098,-0.058278377,2.448801426,0.020155254,29.92163058,42.96615714
0.1315,2.503228098,-0.054003169,2.449623581,0.038735967,29.62103592,42.82494604
0.132,2.503392529,-0.057785084,2.449294719,0.028212377,30.17945287,43.11745476
0.1325,2.503392529,-0.054660893,2.449952443,0.048437401,30.12361118,43.1756005
0.133,2.50355696,-0.051701133,2.449788012,0.036433932,29.984601,43.13881442
0.1335,2.503392529,-0.05712736,2.449130288,0.028047946,29.91866027,43.11270816
0.134,2.502899236,-0.053838738,2.450116874,0.043997762,30.02024464,43.33876459
0.1345,2.503392529,-0.057291791,2.449623581,0.031994292,29.95192767,43.3090984
0.135,2.503392529,-0.055811911,2.449952443,0.050246143,30.15925481,43.1506809
0.1355,2.50355696,-0.053345444,2.449623581,0.034789621,30.2061856,43.40937015
0.136,2.502899236,-0.056962928,2.449130288,0.026896929,29.99648221,43.51142187
0.1365,2.50355696,-0.052029996,2.449952443,0.043833331,30.01133373,43.54820795
0.137,2.50355696,-0.055318618,2.44945915,0.032980879,29.81529373,43.81757703
0.1375,2.503392529,-0.055318618,2.449952443,0.050246143,29.91568997,43.55414119
0.138,2.503392529,-0.054496462,2.449788012,0.037584949,30.14856172,43.38801048
0.1385,2.503228098,-0.058936102,2.448965857,0.027719084,29.97390791,43.76773782
0.139,2.503228098,-0.055318618,2.449952443,0.042353451,29.87767009,43.94336171
0.1395,2.503228098,-0.060415982,2.449294719,0.028705671,29.97450197,43.67043269
0.14,2.503228098,-0.056305204,2.449623581,0.045642072,29.85212549,43.72323852
0.1405,2.50355696,-0.052852151,2.44945915,0.03314531,30.12836366,43.74222489
0.141,2.502734805,-0.057291791,2.448965857,0.022950583,30.03628427,43.61050697
0.1415,2.50355696,-0.055318618,2.449788012,0.038900398,29.9424227,44.02583375
0.142,2.50355696,-0.06025155,2.448965857,0.023608307,30.17173009,44.0074407
0.1425,2.503063667,-0.059922688,2.449623581,0.041695726,30.23351239,44.0371069
0.143,2.502570374,-0.059593826,2.449294719,0.028870102,30.1669776,43.84783656
0.1435,2.502734805,-0.065842208,2.448636995,0.01801765,29.95846233,44.1237322
0.144,2.503063667,-0.064197897,2.44945915,0.03610507,30.102225,44.21332412
0.1445,2.502241512,-0.069952985,2.448965857,0.021963996,29.93767021,43.71611864
0.145,2.502570374,-0.066828794,2.449294719,0.041038002,29.97390791,43.89708245
0.1455,2.503063667,-0.062389155,2.449294719,0.030514413,29.91984839,43.78553754
0.146,2.502899236,-0.065842208,2.448801426,0.023608307,30.02499712,43.87453613
0.1465,2.502899236,-0.065020052,2.449788012,0.037584949,29.9483633,43.64907303
0.147,2.502734805,-0.07061071,2.449130288,0.026568066,29.79271943,43.75943129
0.1475,2.502570374,-0.067815381,2.449788012,0.044655486,30.10341312,43.81223712
0.148,2.502734805,-0.065677777,2.449623581,0.03462519,29.93172961,43.76299123
0.1485,2.502734805,-0.06617107,2.449294719,0.026568066,30.11588839,43.88640261
0.149,2.502734805,-0.06617107,2.450116874,0.052054885,30.04103676,43.63245996
0.1495,2.502899236,-0.067322088,2.449623581,0.034131896,29.92163058,43.57787415
0.15,2.502899236,-0.064197897,2.450116874,0.053041471,29.9483633,43.53396818
0.1505,2.503392529,-0.061238137,2.449788012,0.042846744,29.87232355,43.65500627
0.151,2.502899236,-0.059264964,2.44945915,0.03314531,30.12836366,43.72323852
0.1515,2.503392529,-0.056305204,2.450610167,0.052219316,30.07786851,43.59864049
0.152,2.503392529,-0.057456222,2.450116874,0.040544709,30.02024464,43.69119903
0.1525,2.503228098,-0.056469635,2.450281305,0.058303266,29.98578912,43.49124885
0.153,2.503392529,-0.055811911,2.450281305,0.046299797,29.83727397,43.55651449
0.1535,2.503228098,-0.051865564,2.449952443,0.039722553,29.8414324,43.52328835
0.154,2.503063667,-0.056469635,2.450610167,0.055672369,30.0208387,43.55948111
0.1545,2.503392529,-0.058278377,2.450116874,0.045806504,29.87172949,43.42776319
0.155,2.503063667,-0.058607239,2.450445736,0.066031527,30.004205,43.48768891
0.1555,2.503228098,-0.057620653,2.450281305,0.047286383,30.07014572,43.41411674
0.156,2.503063667,-0.062718017,2.449623581,0.038078243,29.87529385,43.45624274
0.1565,2.503228098,-0.055811911,2.450610167,0.053370333,29.97450197,43.58914731
0.157,2.50355696,-0.056305204,2.449952443,0.041531295,29.96915542,43.72798512
0.1575,2.503392529,-0.056634066,2.450281305,0.057809973,30.07252197,43.36309088
0.158,2.50355696,-0.054003169,2.450116874,0.046299797,29.94123458,43.47404246
0.1585,2.503392529,-0.058607239,2.449623581,0.036762794,30.05113579,43.51201519
0.159,2.503228098,-0.055154186,2.450445736,0.052548178,29.94064052,43.3090984
0.1595,2.50355696,-0.056634066,2.449623581,0.038900398,29.97093761,43.57965412
0.16,2.503228098,-0.060415982,2.450116874,0.055672369,29.91509591,43.42835651
0.1605,2.503228098,-0.060415982,2.450116874,0.043504468,30.01430403,43.44556291
0.161,2.502734805,-0.066993225,2.44945915,0.034131896,30.23648269,43.63779987
0.1615,2.502899236,-0.062718017,2.450281305,0.049095125,30.03450209,43.53159488
0.162,2.503063667,-0.065020052,2.44945915,0.034131896,30.01252185,43.53100156
0.1625,2.502734805,-0.067979812,2.449788012,0.051890454,29.88598694,43.40403023
0.163,2.502570374,-0.067486519,2.449952443,0.039064829,30.1051953,43.43844302
0.1635,2.502405943,-0.073899332,2.449294719,0.026568066,29.96559106,43.52684829
