PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.0703428101455003,0.273,0.583,0.856,0.531,0.273,0.583,0.057,1.285267379313971e-05,-5.1200424610821815e-06,0.5461840863900828,0.999999946105315,Ischaemia,Red
0.06263936351698073,0.2455,0.8435,1.089,0.609,0.2455,0.8435,0.0155,8.249356221573718e-06,-5.582281194012263e-06,0.05702340112875088,0.9999999394692569,Ischaemia,Red
0.0609780751453672,0.199,0.7655,0.9645,0.648,0.199,0.7655,0.053,7.362473974347741e-06,-4.8854034257042925e-06,0.0012392165043500773,0.9999999378214138,Ischaemia,Red
0.0641705366013973,0.1275,0.82,0.9475,0.509,0.1275,0.82,0.0655,1.0860141741446394e-05,-3.580769859069712e-06,0.8315151102190113,0.9999999409193888,Ischaemia,Red
0.06269909271679461,0.197,0.823,1.02,0.5185,0.197,0.823,0.061,6.358763944605745e-06,-5.4342562331476715e-06,0.4075407239951847,0.9999999395368269,Ischaemia,Red
0.06600624400924486,0.2385,0.725,0.9635,0.4835,0.2385,0.725,0.0655,1.0408269272455949e-05,-3.871045591214713e-06,0.1922913020785291,0.9999999425638031,Ischaemia,Red
0.06743551538079766,0.163,0.8,0.963,0.7005,0.163,0.8,0.0,7.406649357127263e-06,-5.90039464046612e-06,0.3816663851621301,0.9999999437863132,Ischaemia,Red
0.06512628680020835,0.194,0.7855,0.9795,0.5485,0.194,0.7855,0.067,9.628233617920714e-06,-4.544212428361837e-06,0.21741934717492012,0.9999999417952221,Ischaemia,Red
0.05908034339626992,0.256,0.7555,1.0115,0.6765,0.256,0.7555,0.0725,8.943446223590818e-06,-4.844135289869419e-06,0.3636951328191094,0.9999999358418066,Ischaemia,Red
0.06734764679687147,0.2735,0.678,0.9515,0.532,0.2735,0.678,0.0605,1.0625181748257612e-05,-4.585811392328147e-06,0.6295112049325865,0.9999999437111765,Ischaemia,Red
0.06270692297176995,0.1325,0.6935,0.826,0.7045,0.1325,0.6935,0.0005,1.1025482286403641e-05,-4.394619110151016e-06,0.3543809573219301,0.9999999395443419,Ischaemia,Red
0.1498767914234695,0.143,0.8225,0.9655,0.565,0.143,0.8225,0.0655,1.6860155845516882e-05,-2.7862309180631643e-06,0.029512788409959193,0.9999999635292844,Ischaemia,IR
0.15207781179995167,0.1585,0.817,0.9755,0.5305,0.1585,0.817,0.0,1.577401780879326e-05,-3.006711953261812e-06,0.022908070468433385,0.9999999640580706,Ischaemia,IR
0.15154413019421348,0.1605,0.8205,0.981,0.5425,0.1605,0.8205,0.0735,1.5568385932080223e-05,-3.1707268483846334e-06,0.0007282593817304796,0.999999963933029,Ischaemia,IR
0.15495431586538647,0.1495,0.825,0.9745,0.5365,0.1495,0.825,0.0,1.6817524718187545e-05,-2.826795358560957e-06,0.0005690031291149253,0.9999999647283067,Ischaemia,IR
0.15309569949999338,0.1535,0.8245,0.978,0.519,0.1535,0.8245,0.0005,1.640832155606149e-05,-3.249275308651455e-06,0.007334266590958055,0.9999999643007607,Ischaemia,IR
0.15517176643616484,0.1475,0.8255,0.973,0.5375,0.1475,0.8255,0.073,1.7068404434881167e-05,-2.8026732534456873e-06,0.004389335320957029,0.9999999647799516,Ischaemia,IR
0.15686322178352877,0.154,0.8255,0.9795,0.5385,0.154,0.8255,0.078,1.64564792384177e-05,-3.0430131171424544e-06,0.0015230335162406859,0.999999965160769,Ischaemia,IR
0.15553627855047075,0.1445,0.834,0.9785,0.542,0.1445,0.834,0.0,1.7358240671383842e-05,-2.8782979853414752e-06,0.00038230782223151456,0.9999999648651521,Ischaemia,IR
0.15544676346940406,0.1435,0.8285,0.972,0.5335,0.1435,0.8285,0.0,1.7513760601954066e-05,-3.3125682066742487e-06,0.023763558511170155,0.9999999648464392,Ischaemia,IR
0.15320209984978272,0.15,0.8225,0.9725,0.546,0.15,0.8225,0.073,1.647436391646938e-05,-2.815295264186452e-06,0.0006758700447812838,0.9999999643321071,Ischaemia,IR
0.1537052869358921,0.152,0.8225,0.9745,0.5395,0.152,0.8225,0.0,1.6576525177226494e-05,-2.914809084813598e-06,4.6771145490508785e-06,0.9999999644506902,Ischaemia,IR
0.15196915113101794,0.155,0.8255,0.9805,0.5335,0.155,0.8255,0.0715,1.634268566848621e-05,-3.045814044429706e-06,0.0017653696600104206,0.9999999640458744,Ischaemia,IR
