PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Upslope,Downslope,Delta_T,RWI,DNP,State,Channel
0.10238404006284157,0.141,0.7455,0.8865,0.592,12.580444332515526,-3.531942778811924,0.073,0.8920637950279013,0.01935319095323656,Congestion,Red
0.11379453008520156,0.2185,0.8035,1.022,0.6145,9.512180775884417,-4.6512201881221245,0.03,0.9071179906994704,0.28686796658940933,Congestion,Red
0.11829288893685554,0.2045,0.717,0.9215,0.645,9.955227977929326,-3.73158303785911,0.083,0.8918016567187246,0.010762943200484753,Congestion,Red
0.1252427725631538,0.2135,0.7885,1.002,0.666,8.288521865534676,-4.468442168637523,0.122,0.8971161347080078,0.000532847622906528,Congestion,Red
0.12090599364213953,0.2775,0.6955,0.973,0.5625,10.733256924070588,-2.591318265775044,0.0715,0.9155946205091154,0.48086403893110136,Congestion,Red
0.10822196257213564,0.1715,0.785,0.9565,0.5035,10.542366173709183,-3.8178938532725226,0.076,0.8839263026710519,0.00012717791372437792,Congestion,Red
0.1050553465165671,0.147,0.784,0.931,0.5725,12.044291681214133,-2.7353751093299934,0.0695,0.9456365283093361,0.6203688391651282,Congestion,Red
0.09875650373125751,0.1885,0.805,0.9935,0.5145,9.911952635515263,-6.473860449030212,0.0925,0.918453749262655,0.40201335250336667,Congestion,Red
0.1035151757644572,0.257,0.66,0.917,0.4965,10.314089387887293,-3.556825481356327,0.078,0.7716616178186643,0.3930083752845668,Congestion,Red
0.10163039511571356,0.193,0.79,0.983,0.5265,9.506179951912827,-5.345179189795942,0.1105,0.8821750179831503,0.30914494084424843,Congestion,Red
0.09252274888390317,0.1575,0.828,0.9855,0.6605,10.023818619653127,-4.77509209614152,0.073,0.9706982406898078,0.00018425055770647503,Congestion,Red
0.10242959528257742,0.1455,0.813,0.9585,0.538,12.393524607112113,-4.305010639647207,0.071,0.9122016561992802,0.02911915847134409,Congestion,Red
0.09802532572064213,0.137,0.818,0.955,0.5545,12.494944209881112,-3.4203885086153605,0.065,0.9709952374543728,0.0006089281772283408,Congestion,Red
0.10324725610732403,0.2755,0.629,0.9045,0.5165,11.23365431054475,-3.2741312657549315,0.0725,0.8077059168539267,0.07112123757503874,Congestion,Red
0.10325983275025177,0.2165,0.81,1.0265,0.483,11.437702291357255,-3.913923950355752,0.0125,0.9683644736991363,0.00031424722378786983,Congestion,Red
