State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Congestion,Red,3,6,5.9822594596968284e+153,2.2950129673147525e+157,2.6319382370259114e+156,2.0312209178871438e+157,0.12957419913554394,-1.125105468945699e+156,8.154119926083676e+154,-13.798000018943473,5.9822594596968284e+153
Congestion,Red,3,7,2.396001054693163e+146,3.6089090022180384e+148,3.6089090022180384e+148,0.0,,-7.671433800211725e+148,0.0,,2.396001054693163e+146
Congestion,Red,3,8,1.0682274615830073e+146,1.0217832682563323e+149,2.977265613437688e+148,7.229884796663355e+148,0.41179986917795947,-4.210444998605758e+147,4.766103623282858e+147,-0.8834144893613609,1.0682274615830073e+146
Congestion,Red,3,9,1.3329943208093738e+144,1.5029021114804537e+147,5.810448975137537e+146,9.20524220897906e+146,0.6312108734596746,-2.4143645182378117e+146,1.9054571242894576e+145,-12.670789006276513,1.3329943208093738e+144
Congestion,Red,3,10,5.215276241471983e+141,5.9076806052339066e+144,2.3370988039504012e+144,3.5653665273360876e+144,0.6555002931764765,-1.1834135891434219e+144,7.427345786143232e+142,-15.933196369438567,5.215276241471983e+141
Congestion,Red,3,11,2.2348748113655e+139,2.597304860884961e+142,1.0270007897930045e+142,1.5680691974823949e+142,0.6549460900334629,-5.120328490699135e+141,3.1143823878193134e+140,-16.440911401006165,2.2348748113655e+139
Congestion,Red,3,12,7.097977141177756e+136,1.4192187119030598e+139,1.4192187119030598e+139,0.0,,-1.9653789308773366e+139,0.0,,7.097977141177756e+136
Congestion,Red,3,13,1.4074332702247488e+136,1.1957650797821425e+139,2.9120039026442174e+138,9.031572577047747e+138,0.3224249019539073,2.9959465574627187e+137,1.2032609088689201e+138,0.24898561362547253,1.4074332702247488e+136
Congestion,Red,3,14,2.6349081224173014e+134,2.8593459484054014e+137,1.0532648974705252e+137,1.8034461450634016e+137,0.5840290270677846,-3.5209275612597227e+136,4.674907806777952e+135,-7.531544378596896,2.6349081224173014e+134
Congestion,Red,3,15,1.3887512229940826e+132,1.6105345915590804e+135,6.420488575878597e+134,9.67096983086536e+134,0.663892938160897,-3.248733773355225e+134,1.8542334715294177e+133,-17.520629539038516,1.3887512229940826e+132
Congestion,IR,3,0,5.432477695426842e+195,9.605343373479244e+199,2.4341160995895326e+198,9.361388516146783e+199,0.02600165664945004,-1.238331632281157e+198,6.905033764431965e+196,-17.933752021023274,5.432477695426842e+195
Congestion,IR,3,1,1.8749846208285006e+164,2.064088099201275e+167,7.657203357617144e+166,1.2964927790438216e+167,0.5906090247000388,-2.57995384857318e+166,3.586987307883078e+165,-7.1925368760108155,1.8749846208285006e+164
Congestion,IR,3,2,1.0104749038855922e+162,1.160082851557089e+165,4.579535592598884e+164,7.011188179942596e+164,0.6531753926816408,-2.2990552342506838e+164,1.4211130997663694e+163,-16.177848438865617,1.0104749038855922e+162
Congestion,IR,3,3,4.164000554147428e+159,4.786773867740191e+162,1.890761287729754e+162,2.8918485802787772e+162,0.653824443168972,-9.6294982210885e+161,5.7764094304263e+160,-16.670387265775656,4.164000554147428e+159
Congestion,IR,3,4,1.4733590380547705e+157,3.4308310838522956e+159,3.4308310838522956e+159,0.0,,-3.921590410258126e+159,0.0,,1.4733590380547705e+157
Congestion,IR,3,5,1.8434531916511583e+156,1.3548548082333414e+159,3.330550034210014e+158,1.019956366451868e+159,0.32653848181722034,1.1319183335852678e+158,2.3325846107207567e+158,0.48526356916824154,1.8434531916511583e+156
